City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Creel,27.75,-107.63,66.43,28,0,5.03,MX,1605983387
Yagodnoye,62.55,149.67,-6.97,89,93,2.89,RU,1605983388
Tobermory,45.25,-81.67,35.6,74,99,8.05,CA,1605983389
Pijijiapan,15.7,-93.23,89.1,49,80,5.93,MX,1605983390
Praia,14.92,-23.51,84.2,39,20,11.41,CV,1605983391
Humberto de Campos,-2.6,-43.46,85.17,68,96,9.86,BR,1605983210
Thinadhoo,0.53,72.93,82.56,75,47,9.46,MV,1605983393
Okhotsk,59.38,143.3,1.15,91,98,16.64,RU,1605982836
Seymchan,62.88,152.43,-3.08,91,99,1.68,RU,1605983395
Marrakesh,31.63,-8.01,75.2,29,0,3.36,MA,1605983128
San Cristobal,7.77,-72.22,87.8,58,40,6.93,VE,1605982852
Filingué,14.35,3.32,81.18,17,0,7.31,NE,1605983398
San Fernando del Valle de Catamarca,-28.47,-65.79,77.0,40,1,1.52,AR,1605983399
Bambanglipuro,-7.95,110.28,79.56,82,100,4.7,ID,1605982881
Beloha,-25.17,45.05,64.9,84,9,13.09,MG,1605983401
Sijunjung,-0.69,100.95,72.12,92,100,1.68,ID,1605983404
São Luís de Montes Belos,-16.52,-50.37,87.31,46,22,3.78,BR,1605983406
Khor,47.89,134.95,16.23,88,27,12.24,RU,1605983407
Jiaojiang,28.68,121.44,63.0,98,71,1.66,CN,1605983408
Winnemucca,40.97,-117.74,37.4,59,1,6.93,US,1605983409
Ndélé,8.41,20.65,80.38,32,72,4.09,CF,1605983410
Dudinka,69.41,86.18,23.0,85,75,15.66,RU,1605983304
San Jerónimo,-11.95,-75.28,65.3,35,100,6.49,PE,1605983412
Bluefield,37.27,-81.22,62.01,71,20,4.7,US,1605983276
Touros,-5.2,-35.46,86.0,62,40,17.22,BR,1605983414
Kudahuvadhoo,2.67,72.89,82.87,72,99,8.34,MV,1605983415
Piracanjuba,-17.3,-49.02,86.23,42,5,5.17,BR,1605983417
Lubango,-14.92,13.49,64.89,48,73,3.36,AO,1605983418
Ystad,55.43,13.82,46.4,93,90,24.16,SE,1605983419
Baiyin,36.56,104.21,21.0,78,0,2.24,CN,1605983420
Rincón de Romos,22.23,-102.3,69.8,37,5,8.05,MX,1605983421
Eenhana,-17.47,16.33,73.4,73,100,11.41,NA,1605983422
Dolores,-36.31,-57.68,76.57,47,18,15.01,AR,1605983423
Gao,16.64,1.64,75.2,19,0,9.33,ML,1605983424
Jacareacanga,-6.22,-57.75,87.13,69,100,1.54,BR,1605983425
Malakal,9.53,31.66,81.63,22,0,7.25,SS,1605983426
North Platte,41.12,-100.77,39.2,47,90,6.93,US,1605983427
Porbandar,21.64,69.61,73.38,40,65,10.94,IN,1605983428
Batemans Bay,-35.72,150.18,64.99,84,100,1.99,AU,1605983430
Sabha,27.04,14.43,61.16,41,85,4.52,LY,1605982871
Guerrero Negro,27.98,-114.06,76.12,47,0,12.82,MX,1605983432
Barinas,8.62,-70.21,83.82,64,97,4.9,VE,1605983433
Tessalit,20.2,1.01,72.19,20,100,5.1,ML,1605983434
Myrsíni,37.92,21.23,60.8,71,75,9.46,GR,1605983435
Muroto-misakicho,33.28,134.15,60.39,64,0,6.98,JP,1605983436
Borisoglebskiy,57.26,39.15,32.0,96,90,4.47,RU,1605983437
Jiuquan,39.74,98.52,9.75,78,0,3.09,CN,1605983438
Taoudenni,22.68,-3.98,74.48,24,100,10.56,ML,1605983439
Washington,47.5,-120.5,39.0,100,90,4.7,US,1605983440
San Quintín,30.48,-115.95,70.7,57,100,9.24,MX,1605983441
Sangar,63.92,127.47,-7.92,90,100,10.02,RU,1605983442
Alice Springs,-23.7,133.88,75.2,60,0,1.12,AU,1605983406
Whitehorse,60.72,-135.05,5.0,84,90,17.22,CA,1605983442
Sanguéya,10.7,-14.37,80.01,78,71,6.6,GN,1605983446
Lafia,8.48,8.52,82.0,30,14,2.42,NG,1605983447
Khani,41.96,42.96,42.8,93,90,3.36,GE,1605983448
Pochutla,15.74,-96.47,91.0,55,20,8.05,MX,1605983449
Palmer,42.16,-72.33,57.2,30,75,12.75,US,1605983450
Khovd,48.01,91.64,11.71,83,0,0.69,MN,1605983451
Rocafuerte,-0.92,-80.43,77.0,73,20,13.87,EC,1605983452
Uusikaupunki,60.8,21.41,44.6,93,90,18.34,FI,1605983453
Kondinskoye,59.65,67.41,22.33,96,100,9.35,RU,1605983454
Rocha,-34.48,-54.33,69.93,53,3,11.41,UY,1605983455
Charters Towers,-20.1,146.27,65.41,91,1,8.46,AU,1605983456
Copiapó,-27.37,-70.33,69.8,49,0,13.87,CL,1605983457
Porto-Novo,6.5,2.6,82.4,83,20,8.05,BJ,1605983459
Wanning,18.8,110.4,74.53,87,23,4.34,CN,1605982863
Şabyā,17.15,42.63,84.2,66,0,1.03,SA,1605983461
Faya,18.39,42.45,62.6,67,0,4.7,SA,1605983462
Havøysund,71.0,24.66,30.2,80,75,33.33,NO,1605983463
Port Keats,-14.25,129.55,82.42,75,37,6.73,AU,1605983464
Cooma,-36.23,149.13,53.6,100,100,8.05,AU,1605983465
Agua Dulce,18.13,-94.13,82.4,74,75,23.04,MX,1605983466
Daru,-9.08,143.21,78.96,87,100,13.73,PG,1605983467
Vanimo,-2.67,141.3,76.37,83,100,7.94,PG,1605983468
Boryslav,49.29,23.43,30.99,80,0,2.75,UA,1605983469
Atasū,48.68,71.64,10.2,91,100,9.33,KZ,1605983470
Port Hedland,-20.32,118.57,78.8,88,0,4.7,AU,1605983471
Ejea de los Caballeros,42.13,-1.14,42.8,56,0,5.82,ES,1605983310
Scarborough,54.28,-0.4,46.99,86,0,1.99,GB,1605983411
Santa Elena,-2.23,-80.85,75.2,73,75,8.05,EC,1605983475
Esfarāyen,37.08,57.51,42.8,70,90,2.24,IR,1605983476
Katsuura,35.13,140.3,57.2,71,20,9.17,JP,1605983477
Abu Samrah,35.3,37.18,55.92,75,0,3.31,SY,1605983478
Lorengau,-2.02,147.27,79.65,83,100,4.23,PG,1605983479
Tonantins,-2.87,-67.8,92.07,49,20,4.32,BR,1605983480
Acapulco de Juárez,16.86,-99.89,86.0,70,5,6.93,MX,1605983481
Suez,29.97,32.53,64.76,52,0,6.31,EG,1605983482
Beringovskiy,63.05,179.32,32.81,96,100,19.37,RU,1605983483
Vestmanna,62.16,-7.17,42.8,81,100,38.03,FO,1605983484
Edremit,39.6,27.02,53.6,66,20,17.22,TR,1605983485
Oro Valley,32.39,-110.97,80.01,33,98,1.01,US,1605983265
Boa Vista,2.82,-60.67,93.2,44,75,8.05,BR,1605983487
Clarence Town,-32.58,151.78,64.99,93,40,2.24,AU,1605983488
Nyamuswa,-1.9,34.02,75.2,78,75,1.7,TZ,1605983489
Philadelphia,39.95,-75.16,66.0,42,75,4.7,US,1605983450
Namatanai,-3.67,152.43,79.5,72,20,8.12,PG,1605983492
Shirgaon,19.7,72.7,75.88,64,2,5.84,IN,1605983493
Alekseyevsk,57.84,108.35,21.06,95,100,10.33,RU,1605983494
Porto Murtinho,-21.7,-57.88,100.15,22,8,0.89,BR,1605983495
Bonfim,3.08,-59.95,90.55,51,92,3.83,BR,1605983496
Nortelândia,-14.45,-56.8,94.82,38,12,3.0,BR,1605983497
Vastseliina,57.73,27.29,33.8,86,100,13.42,EE,1605983498
Solomenskoye,44.22,44.35,39.63,88,20,7.99,RU,1605983499
Izhma,65.01,53.91,30.2,97,100,8.48,RU,1605983500
Hereford,52.06,-2.71,54.0,90,100,5.99,GB,1605983501
Hirara,24.8,125.28,77.02,86,65,15.48,JP,1605983502
Barkhera Kalān,28.45,79.8,56.16,38,0,7.27,IN,1605983503
Zonguldak,41.25,31.83,44.13,83,100,4.54,TR,1605983504
Bhatgaon,21.15,81.7,65.26,38,0,5.57,IN,1605983505
Felanitx,39.47,3.15,53.6,76,20,5.82,ES,1605983506
Rio Grande,-32.03,-52.1,73.4,46,20,11.41,BR,1605983407
Marzuq,14.4,46.47,59.97,34,2,0.38,YE,1605983509
Bahía Solano,6.23,-77.4,78.42,85,100,10.49,CO,1605983510
Shwebo,22.57,95.7,66.47,83,0,2.15,MM,1605983511
Kribi,2.95,9.92,79.32,85,100,6.49,CM,1605983512
Socuéllamos,39.29,-2.79,48.0,76,0,5.99,ES,1605983513
Çanakkale Province,40.08,26.83,50.0,71,75,21.92,TR,1605983514
Chissamba,-12.17,17.33,64.44,93,10,0.98,AO,1605983515
Khairābād,27.53,80.75,58.73,35,0,7.61,IN,1605983516
Colac,-38.33,143.58,66.0,79,71,5.03,AU,1605983517
Clearlake,38.96,-122.63,62.01,75,20,3.53,US,1605983271
Morant Bay,17.88,-76.41,84.99,70,40,11.41,JM,1605983519
Zambezi,-13.54,23.1,68.41,89,13,2.77,ZM,1605983520
Kruisfontein,-34.0,24.73,73.99,33,100,4.0,ZA,1605983521
Udarnyy,54.34,42.86,24.08,82,100,6.4,RU,1605983522
Riyadh,24.69,46.72,73.4,31,0,4.7,SA,1605983469
Mahon,39.89,4.27,57.2,50,20,20.8,ES,1605983525
Rawson,-43.3,-65.1,70.97,42,100,18.12,AR,1605983448
Egvekinot,66.32,-179.17,21.61,94,100,20.92,RU,1605983527
Skegness,53.14,0.34,53.6,81,75,14.99,GB,1605983528
Vélingara,13.15,-14.12,86.11,29,0,0.78,SN,1605983529
Coahuayana Viejo,18.73,-103.68,86.0,48,5,5.64,MX,1605983530
San Miguel de Tucumán,-26.82,-65.22,91.4,33,0,6.93,AR,1605983347
Kalmunai,7.42,81.82,76.86,87,100,11.77,LK,1605983532
Mabaruma,8.2,-59.78,80.65,85,100,5.91,GY,1605983533
Ciudad del Carmen,18.63,-91.83,82.4,74,40,9.17,MX,1605983271
Tabuk,17.42,121.44,70.72,88,4,1.95,PH,1605983535
Ola,59.58,151.28,2.68,85,89,9.42,RU,1605983536
Mahanoro,-19.9,48.8,74.16,80,7,3.33,MG,1605983537
Marau,-28.45,-52.2,77.25,41,23,4.74,BR,1605983538
Ancud,-41.87,-73.82,51.8,93,90,11.41,CL,1605983539
Krasnyye Chetai,55.69,46.14,21.63,85,99,8.21,RU,1605983541
Novy Urengoy,66.08,76.63,22.26,96,71,16.17,RU,1605983542
Sirte,31.21,16.59,69.13,50,40,5.08,LY,1605983543
Northam,51.03,-4.22,53.01,96,100,8.99,GB,1605983544
Pangnirtung,66.15,-65.71,17.6,92,90,4.7,CA,1605983545
Grootfontein,-19.57,18.12,74.86,62,74,1.7,NA,1605983546
Sesimbra,38.44,-9.1,64.0,82,0,4.7,PT,1605983547
Eidfjord,60.47,7.07,30.0,86,100,5.99,NO,1605983548
Hall,34.32,-83.78,71.01,43,1,6.93,US,1605983549
Ayorou,14.73,0.92,79.79,16,49,9.28,NE,1605983550
Bom Sucesso,-21.03,-44.76,74.39,73,6,7.09,BR,1605983552
Fougamou,-1.22,10.58,74.75,95,100,2.01,GA,1605983553
Xam Nua,20.42,104.04,63.61,94,24,1.81,LA,1605983554
Kokopo,-4.35,152.26,78.64,77,84,2.3,PG,1605983555
Tongren,27.72,109.19,46.24,85,100,7.29,CN,1605983420
Eureka,40.8,-124.16,51.01,87,1,4.61,US,1605983558
Erzin,36.96,36.2,62.01,71,0,5.99,TR,1605983559
London,51.51,-0.13,54.0,71,75,12.75,GB,1605983454
Colares,38.8,-9.45,64.99,55,0,3.36,PT,1605983561
Poço Verde,-10.71,-38.18,87.57,51,100,8.86,BR,1605983562
Batī,11.18,40.02,60.76,44,0,2.04,ET,1605983563
Dukat,62.55,155.55,-8.61,89,100,4.61,RU,1605983564
Barcelos,41.54,-8.62,60.01,76,0,2.68,PT,1605983565
Kavieng,-2.57,150.8,81.97,70,100,9.17,PG,1605983566
Poronaysk,49.22,143.12,31.15,92,100,14.25,RU,1605983567
Nuevo Imperial,-13.08,-76.32,73.02,57,47,9.44,PE,1605983568
Nizwá,22.93,57.53,63.52,39,0,1.54,OM,1605983570
Belyy Yar,53.6,91.39,28.4,68,40,11.18,RU,1605983571
Selenduma,50.91,106.24,10.29,88,100,5.39,RU,1605983572
Thohoyandou,-22.95,30.48,72.88,57,9,0.04,ZA,1605983573
